tender_id,name_of_work,customer,inserted_time,Status,Stage,inserted_user_id
2024_IITR_832369_1,High Speed Camera,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,19-11-2024 23:09:20,,rejected,Centerl GOV BOT
2024_ITBP_835427_1,"Development of Infrastructure at ITBP BOP (SH Preparation of LOP of 04 Acre land (By Total Station), Soil test by SPT, Carrying out Detailed Architectural and Engineering designin Muling-La Valley of 12th Bn ITB Police, Matli, Uttarkashi (UKD)","DG, Indo-Tibetan Border Police Force||IG, NORTHERN FTR,ITBP||DIG(SHQ),ITBP",19-11-2024 23:18:09,,rejected,Centerl GOV BOT
GEM_2024_B_5625400,Camera for CCTV System (V2),General Administration Department Gujarat,20-11-2024 13:05:02,,FOR UPDATE,GEM BOT
GEM_2024_B_5622322,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,21-11-2024 05:19:33,,rejected,GEM BOT
GEM_2024_B_5458692,Spectrum Analyzers and Vector Network Analyzers,Ministry of Defence Department of Defence Research & Development,22-11-2024 05:19:24,,rejected,GEM BOT
GEM_2024_B_5622316,"Solenoid switch,Gasket,Hose,Alternator,Brake booster",Ministry of Defence Department of Military Affairs,21-11-2024 05:22:24,,rejected,GEM BOT
GEM_2024_B_5610827,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2)",Panchayats and Rural Housing Department Gujarat,16-11-2024 05:01:16,,rejected,GEM BOT
GEM_2024_B_5581869,"Indoor Video Wall,55 inch Display,Optical Zoom PTZ Camera,Optical Zoom Tracking Camera,8x8 Matrix S",Ministry of Defence Department of Defence,16-11-2024 05:02:01,Open,approved,GEM BOT
GEM_2024_B_5611367,Unmanned Aerial Vehicle and Payload Systems for Agricultural Spray (V2),Agriculture Department Bihar,16-11-2024 05:11:27,,rejected,GEM BOT
GEM_2024_B_5611969,"Electronic caltrops,Electronic Boom Barrier,Vehical Screening System,Body camera with data storae,H",Ministry of Defence Department of Military Affairs,16-11-2024 05:03:46,,rejected,GEM BOT
GEM_2024_B_5611485,"Barometer Sensor,Buzzer 9 Volt,Battery Clip 9 Volt,Camera Flash Sensor,Dark Sensor,DTMF,IR Sensor,L",Ministry of Home Affairs Central Armed Police Forces,16-11-2024 05:03:35,,rejected,GEM BOT
GEM_2024_B_5476255,"4MP Network Camera,5MP Perimeter Intrusion Camera,Alarm System Integration,2MP IR outdoor PTZ,8TB S",Ministry of Defence Department of Military Affairs,16-11-2024 05:04:22,,pre_approved,GEM BOT
GEM_2024_B_5560650,"08 Channel NVR with SATA slot,2MP IP PTZ camera 30x,Junction Box Pole Mounted IP67 with Inbuilt PDU",Ministry of Defence Department of Military Affairs,16-11-2024 05:04:39,,pre_approved,GEM BOT
GEM_2024_B_5611963,"Speakerphone,Video Conferencing Camera / Web Camera,Professional Large Format Display",Medical Education Department Karnataka,16-11-2024 13:01:59,,rejected,GEM BOT
GEM_2024_B_5612371,"AMC of Integrated Security and Surveillance System - CCTV SYSTEMS; Comprehensive; Hardware, Softwar",Ministry of Finance Department of Financial Services,16-11-2024 13:05:30,,rejected,GEM BOT
GEM_2024_B_5560695,"SOLAR SIM BASED PTZ CAMERA,SOLAR PTZ CAMERA MEMORY CARD (256 GB),CMS (TABLET)",Ministry of Defence Department of Military Affairs,16-11-2024 13:03:28,,pre_approved,GEM BOT
GEM_2024_B_5609541,"LAN Revamping and Upgradation - Baddi BP,LAN Revamping and Upgradation - Bathinda Terminal,LAN Reva",Ministry of Petroleum and Natural Gas INDIAN OIL CORPORATION LIMITED,16-11-2024 13:06:20,Open,approved,GEM BOT
GEM_2024_B_5605706,AMC of Integrated Security and Surveillance System - Remote Video Monitoring; Non-Comprehensive; Ha,Department of Panchayati Raj,16-11-2024 13:09:52,,rejected,GEM BOT
GEM_2024_B_5607433,"SMPS,DVD writer internal normal,Pressure roller,Taflon Paper Roll,Printer head,Lan card,DVD writer",Ministry of Defence Department of Military Affairs,16-11-2024 13:06:57,,rejected,GEM BOT
GEM_2024_B_5613332,"SMPS,RAM DDR III 4 GB,DVD Writer,LAN Card Kiosk Machine UPS,Printer Head Canon M2000,UPS 1 KVA",Ministry of Defence Department of Military Affairs,16-11-2024 13:08:29,,rejected,GEM BOT
GEM_2024_B_5612130,Custom Bid for Services - CAMC for PCs and Printers and Networking for a period of 03 years,Ministry of Defence Department of Defence Production,16-11-2024 13:09:34,,rejected,GEM BOT
GEM_2024_B_5545464,"Layer 3 Switch,OFC 12 Core Access NW,HDPE Pipe 40MM,OFC Laying,Splicing Machine,Lan Extender Optica",Ministry of Defence Department of Military Affairs,16-11-2024 13:07:51,,pre_approved,GEM BOT
GEM_2024_B_5611282,"SUPPLY, INSTALL, TESTING. CONFIGURATION AND MAINTENANCE OF NETWORKING EQUIPMENT",Ministry of Defence Department of Defence Production,16-11-2024 13:09:13,Open,rejected,GEM BOT
GEM_2024_B_5603004,"SEAL RING STACK, STEM, LAN BUSH, S2058628 - 4431635663",Ministry of Petroleum and Natural Gas INDIAN OIL CORPORATION LIMITED,16-11-2024 13:05:52,,rejected,GEM BOT
GEM_2024_B_5605699,"4 GB RAM,DVD Writer Slim,Cooling Fan Intel,LAN card,UPS Bty,1 KVA UPS",Ministry of Defence Department of Military Affairs,16-11-2024 13:06:44,,rejected,GEM BOT
GEM_2024_B_5609017,AMC of Integrated Security and Surveillance System - Remote Video Monitoring; Non-Comprehensive; Ha,Department of Panchayati Raj,16-11-2024 13:09:43,Open,rejected,GEM BOT
GEM_2024_B_5607894,"Hdmispliter4port,Switch8port,Utpcable305mtr,Hdmicable20mtr,Upsmicrotek1kva,Penredv7",Ministry of Defence Department of Military Affairs,16-11-2024 13:15:15,,rejected,GEM BOT
2024_IISRP_834435_1,Annual maintenance contract for CCTV system at IISER Pune 2024-25,"Indian Institute of Science Education and Research - Pune,	IISER Pune",16-11-2024 15:22:09,WIP,approved,Preetinder
GEM_2024_B_5472674,"SOLENOID SWITCH 24V,WHEEL CYL ASSY,FUEL FEED PUMP,OIL FILTER,OIL SEAL,AIR COMPRESSER R KIT,TONDAM M",Ministry of Defence Department of Military Affairs,16-11-2024 13:12:45,,rejected,GEM BOT
GEM_2024_B_5613023,"Lock P,Main B,Nut Plain,F Hub,S Switch,Lock S,Instrument,Washer,Gasket,Pipe N,Circlip,D Piece,Clip,",Ministry of Defence Department of Military Affairs,16-11-2024 13:14:14,,rejected,GEM BOT
GEM_2024_B_5611553,"Suspension Bush Kit,Coolant Container,Solenoid Switch,Tie Rod End,Wheel Bearing Outer,Rectifier Pla",Ministry of Defence Department of Military Affairs,16-11-2024 13:14:34,,rejected,GEM BOT
GEM_2024_B_5611583,"Air Compressor Piston Ring,Ring Set,Connecting Rod Assy,Hose Pipe,Solenoid Switch 24V,Ana Bond Tube",Ministry of Defence Department of Military Affairs,16-11-2024 13:14:51,,rejected,GEM BOT
GEM_2024_B_5613344,"Black Out Chaange Over Switch,Pump Assy Fuel,Booster RV 78 26310 42,Wiper Motor Assy,Clutch Release",Ministry of Defence Department of Military Affairs,16-11-2024 13:15:31,,rejected,GEM BOT
GEM_2024_B_5611344,"POWER SUPPLY CARD REPAIR,DISPLAY CONNECTOR REPAIR,BTY CIRCUIT AND LID REPAIR,PCB REPAIR,SWITCH REPA",Ministry of Defence Department of Military Affairs,16-11-2024 13:15:43,,rejected,GEM BOT
GEM_2024_B_5611273,"LV7 TMB HEAD LIGHT ASSY LH,LV7 TMB HEAD LIGHT ASSY RH,LV7 TMB COMBINATION SWITCH,LV7 MG HEAD LAMP A",Ministry of Defence Department of Military Affairs,16-11-2024 13:15:59,,rejected,GEM BOT
GEM_2024_B_5606751,Drone Assembly Kit,Ministry of Defence Department of Military Affairs,16-11-2024 13:05:38,,rejected,GEM BOT
GEM_2024_B_5599100,LAN AND SITE PREPARATION,Ministry of Law and Justice Gauhati High Court Kohima Bench,16-11-2024 13:06:30,,rejected,GEM BOT
GEM_2024_B_5611925,Spectrum Analyzers and Vector Network Analyzers,Ministry of Science and Technology Department of Scientific and Industrial Research (DSIR),16-11-2024 13:09:21,,rejected,GEM BOT
GEM_2024_B_5603348,"modular electrical switches and accessories,Piano Type Modular Domestic Fan Regulator as per IS 110",PMO Department of Atomic Energy,16-11-2024 13:10:47,,rejected,GEM BOT
GEM_2024_B_5610830,"Fuel Filter,AC Filter,Steering Pump,Solenoid Switch 12V,352 Dia Clutch Disc Assembly,Door Lock assy",Ministry of Defence Department of Military Affairs,16-11-2024 13:11:06,,rejected,GEM BOT
2024_PGIME_834503_1,"Repair of existing CCTV surveillance system of security wing installed at various locations of the Institute, PGIMER, Chandigarh","Repair of existing CCTV surveillance system of security wing installed at various locations of the Institute, PGIMER, Chandigarh",16-11-2024 16:22:09,Open,approved,Preetinder
GEM_2024_B_5611535,"PDT SWITCH,MERCURY SWITCH,VIBRETION SENSOR,DIGITAL MULTI METER,DOORBELL REMOTE OPERATOR,RELAY SWITC",Ministry of Home Affairs Central Armed Police Forces,16-11-2024 13:11:28,,rejected,GEM BOT
GEM_2024_B_5611519,Custom Bid for Services - DISMANTLING AND ERECTIONS OF 66KV SWITCH BOARD PANELS 4NOS OF HT SWBD A2 ,Ministry of Mines Materials,16-11-2024 13:11:57,,rejected,GEM BOT
GEM_2024_B_5612367,"PRESSURE PLATE,CLUTCH PLATE,HOSE PIPE STEEL,SOLENIOD SWITCH,WIND SREEN BLEEDING,SP VALVE",Ministry of Defence Department of Military Affairs,16-11-2024 13:12:11,,rejected,GEM BOT
GEM_2024_B_5612286,"COMBINATION SWITCH,TAIL LIGHT ASSY,IGNATION SWITCH,MASTER SWITCH,ROTARY SWITCH,HEAED LIGHT SWITCH,H",Ministry of Defence Department of Military Affairs,16-11-2024 13:12:31,,rejected,GEM BOT
GEM_2024_B_5613302,Rear Vision Camera System -130EG02472,Ministry of Defence Department of Defence Production,16-11-2024 13:02:55,,rejected,GEM BOT
GEM_2024_B_5609985,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2),Networki",Panchayats and Rural Housing Department Gujarat,17-11-2024 13:02:41,,rejected,GEM BOT
GEM_2024_B_5613608,"Camera wire 1,Camera wire 2,Camera wire 3,Camera wire 4,Camera wire 5",Ministry of Culture NA,17-11-2024 05:03:08,,rejected,GEM BOT
GEM_2024_B_5576119,"NVR with HD,IP Dome camera,IP Bullet camera,2TB HDD,cat 6 cable for cctv,PVC Adapter,BNC RG-59,Stan",Ministry of Communications Department of Posts,17-11-2024 05:03:32,,pre_approved,GEM BOT
GEM_2024_B_5614423,Supply and Installation of CCTV Cameras,Ministry of Education Department of School Education and Literacy,17-11-2024 05:04:05,,rejected,GEM BOT
GEM_2024_B_5607844,"2 MP IP IR POE Bullet Camera,8 Port POE Switch,POE Splitter 2 Ports 250M,Cat 6 UTP Cable,25 MM PVC ",Ministry of Defence Department of Military Affairs,17-11-2024 05:04:31,,rejected,GEM BOT
GEM_2024_B_5589634,"Crimping Tool,Media Convertor,Layer 2 Manageable Switch,Cat 6 Cable,Cat 6 Cable,Power Extension Boa",Ministry of Defence Department of Military Affairs,17-11-2024 05:03:56,,rejected,GEM BOT
GEM_2024_B_5583660,CCTV SYSTEM FOR CONVERTER BAY & GCP CONTROL ROOM OF SMS-I.,Ministry of Steel Steel Authority of India Limited,17-11-2024 05:06:12,Open,rejected,GEM BOT
GEM_2024_B_5614028,Custom Bid for Services - sUPPLYING AND Erection of AB Switch and Earth pits at 11 KV 33 KV  new su,Ministry of Coal COAL INDIA LIMITED,17-11-2024 05:08:28,,rejected,GEM BOT
GEM_2024_B_5613989,"Cables suitable for CCTV System (Accessories),Layer 2 Access Switch (V2),Layer 2 Access Switch (V2)",Ministry of Education Department of School Education and Literacy,17-11-2024 05:06:20,,rejected,GEM BOT
GEM_2024_B_5594034,Custom Bid for Services - Extension of LAN as well as installation of 2 nos CCTV camera at Spur 2 M,Ministry of Coal COAL INDIA LIMITED,17-11-2024 05:07:08,,rejected,GEM BOT
GEM_2024_B_5615105,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Cables suitable for CCTV System (Ac",Ministry of Agriculture and Farmers Welfare Department of Agriculture Cooperation and Farmers Welfare,17-11-2024 13:02:32,Open,rejected,GEM BOT
GEM_2024_B_5614517,Video Recorder for CCTV System (V2),Panchayats and Rural Housing Department Gujarat,17-11-2024 13:07:01,,rejected,GEM BOT
GEM_2024_B_5610581,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2),Networki",Panchayats and Rural Housing Department Gujarat,17-11-2024 13:02:50,,rejected,GEM BOT
GEM_2024_B_5614820,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2),Networki",Panchayats and Rural Housing Department Gujarat,17-11-2024 13:03:14,,pre_approved,GEM BOT
GEM_2024_B_5580079,Video Conferencing Camera / Web Camera,Women and Child Development Department Gujarat,17-11-2024 13:03:23,,pre_approved,GEM BOT
GEM_2024_B_5614609,"PTZ Camera,42 inch LED Monitor,4 TB DVR or NVR,UPS 3 KVA with internal battery,UTP Cable,8 Port Swi",Ministry of Defence Department of Military Affairs,17-11-2024 13:03:05,,pre_approved,GEM BOT
GEM_2024_B_5615421,"Camera for CCTV System (V2),Layer 2 Access Switch (V2),Video Recorder for CCTV System (V2),Networki",Panchayats and Rural Housing Department Gujarat,17-11-2024 13:03:33,,rejected,GEM BOT
GEM_2024_B_5615744,"Media Converter for CCTV,IP Bullet Camera,Power adapter 12volt,Power adapter 5 volt,Fiber Splitter ",Ministry of Defence Department of Military Affairs,17-11-2024 13:04:19,,rejected,GEM BOT
GEM_2024_B_5615846,"Flight Controller,Telemetry,GPS,Radio Controller,Radio Controller,FPV Camera,Motors,Electronic Spee",Ministry of Defence Department of Military Affairs,17-11-2024 13:04:40,,rejected,GEM BOT
GEM_2024_B_5615628,"Touch Screen Kiosk with biometric CCTV Microphone etc,Desktop Computers,Scanner Copier and Printer ",Revenue and Relief Department Jammu and Kashmir,17-11-2024 13:03:52,,pre_approved,GEM BOT
GEM_2024_B_5615815,"Lan Tester,Wireless Mouse With Keyboard,Hard Disc 2 TB,Tripod For Camera,8 GB DDR-III RAM,24 Port S",Ministry of Defence Department of Military Affairs,17-11-2024 13:04:07,,rejected,GEM BOT
GEM_2024_B_5615886,"UPS 1 KVA,BBR P2P 5 KM,POE Switch 4 Channel,Y Cable,Labour Charges of Camera Fitting",Ministry of Defence Department of Military Affairs,17-11-2024 13:04:52,,pre_approved,GEM BOT
GEM_2024_B_5608209,"Touch Screen Kiosk With Biometric CCTV Microphone ETC,Desktop Computer,Scanner Copier Printer 3 in ",General Administration Department (GAD) Jammu and Kashmir,17-11-2024 13:08:31,,pre_approved,GEM BOT
GEM_2024_B_5555884,"All in One PC,Network Attached Storage (NAS) Device,Online UPS (V2),Multifunction Machines MFM",Ministry of Defence Department of Military Affairs,17-11-2024 13:11:54,Open,rejected,GEM BOT
GEM_2024_B_5616126,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Monitor Operations; Cloud Storage; High media qua,Department of Panchayati Raj,17-11-2024 13:13:02,Open,rejected,GEM BOT
GEM_2024_B_5614098,"Professional Large Format Display,Interactive Panels with CPU,Layer 2 Access Switch (V2),Audio Digi",Higher Education Department Odisha,17-11-2024 13:15:00,,rejected,GEM BOT
GEM_2024_B_5596740,Camera for CCTV System (V2),Ministry of Education Department of School Education and Literacy,18-11-2024 05:02:04,,rejected,GEM BOT
GEM_2024_B_5585911,"Interactive Panels with CPU,Video Conferencing Camera / Web Camera,HDMI Cable",Ministry of Defence Department of Military Affairs,18-11-2024 05:02:12,,rejected,GEM BOT
GEM_2024_B_5616236,"Media Converter,D Link 5 Port Switch,Adapter 12 V 1 Amp,DP to HDMI Converter,Repair of Search Light",Ministry of Defence Department of Military Affairs,18-11-2024 05:05:26,,pre_approved,GEM BOT
GEM_2024_B_5616449,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention; Recording Devices; High media q,Ministry of Defence Department of Military Affairs,18-11-2024 05:04:35,Open,rejected,GEM BOT
GEM_2024_B_5590598,Custom Bid for Services - 800060727 Procurement and Establishment of 100 Mbps Internet Leased Line ,Ministry of Power NA,17-11-2024 05:02:47,,rejected,GEM BOT
GEM_2024_B_5616319,"SHEET FEEDER CANNON,POWER SUPPLY BROTHER,WASTE TONE BOX SHARP 20C 20,LAN CARD,HEAT ROLLER 6023,PRES",Ministry of Defence Department of Military Affairs,17-11-2024 13:09:24,,rejected,GEM BOT
GEM_2024_B_5616388,"Hub Spanner,Sliding Hammer,LAN Tester,Tweezer,10 Ton Trolly Jack Hydraulic,Gas Soldering Station",Ministry of Defence Department of Military Affairs,17-11-2024 13:09:36,,rejected,GEM BOT
GEM_2024_B_5614880,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Home Department Uttar Pradesh,17-11-2024 13:12:54,,rejected,GEM BOT
GEM_2024_B_5614655,"ELECTRONIC SPEED SWITCH 100,ELECTRONIC SPEED SWITCH 1NO 1NC,ELECTRONIC SPEED SWITCH 240V 6A,ENSOR P",Ministry of Steel Steel Authority of India Limited,17-11-2024 13:13:46,,rejected,GEM BOT
GEM_2024_B_5615644,"0.5 INCH 150 CLASS Ball Valve,Pressure Switch FLP 0-10 Kg cm2,Pressure Gauge 0-28 Kg cm2, 4 INCH DI",Ministry of Petroleum and Natural Gas NA,17-11-2024 13:14:05,,rejected,GEM BOT
GEM_2024_B_5613646,"Pressure Switches_ Schedule 1_ Item_ 10_ M9435990827_ 100248714,Pressure Switches_ Schedule 2_ Item",Ministry of Power NA,17-11-2024 13:14:22,,rejected,GEM BOT
GEM_2024_B_5615804,Operation And Maintenance Of Switchyard - Complete System,Energy Department Uttar Pradesh,17-11-2024 13:14:32,,rejected,GEM BOT
GEM_2024_B_5613679,"RECTIFIER,REVERSE LIGHT SWITCH,ASSY SPRING BRAKE CHAMBER,ELEMENT FUEL WATER SEPRATOR,RELAY 24V,MAJO",Ministry of Defence Department of Military Affairs,17-11-2024 13:15:13,,rejected,GEM BOT
GEM_2024_B_5614043,"15 AMP Switch Socket Board,5 AMP Switch Socket Board,Geyser Rod 15 Ltr,Geyser Rod 100 Ltr,MCB 63 AM",Ministry of Defence Department of Military Affairs,17-11-2024 13:15:28,,rejected,GEM BOT
GEM_2024_B_5614611,"Halogen Lamp 6V 10W,4 Core 0.5mm cable,Battery 6V,On Off Switch Plug,Dental Scaler Einedent",Ministry of Defence Department of Military Affairs,17-11-2024 13:15:52,,rejected,GEM BOT
GEM_2024_B_5614942,"Three phase charge over switch 200 AMP,Agronet,Bucket,Mug,Soap Case,Toilet Brush Harpic,Towel Large",Ministry of Defence Department of Military Affairs,17-11-2024 13:16:29,,rejected,GEM BOT
GEM_2024_B_5615161,"Casing caping,Casing T cape,Casing L cape,Joint cape,Screw,Switch board",Ministry of Defence Department of Military Affairs,17-11-2024 13:16:52,,rejected,GEM BOT
GEM_2024_B_5615457,"pitiful coil,high pressure hose,magnetic switch,self bearing,ignition switch with common",Ministry of Defence Department of Military Affairs,17-11-2024 13:17:06,,rejected,GEM BOT
GEM_2024_B_5615626,"F-2235200 2 Pole Isolator Switch,2573-5450-9931 Battery Cut Off,2751-1540-6615 Pole Screw,2751-1540",Ministry of Defence Department of Military Affairs,17-11-2024 13:19:19,,rejected,GEM BOT
GEM_2024_B_5615706,"BUSH KING PIN,BEARING,COMBINATION SWITCH,BEARING NEEDLE,CHAIN SPROCKET KIT,BRAKE SHOE ASSY,RR UNIT,",Ministry of Defence Department of Military Affairs,17-11-2024 13:19:41,,rejected,GEM BOT
GEM_2024_B_5615808,"STEERING LOCK 6008 F,FILTER INSERT KIT CONSIST ITEM,SWITCH,MULTI FUNCTION SWITCH,OIL SEAL",Ministry of Defence Department of Military Affairs,17-11-2024 13:19:52,,rejected,GEM BOT
GEM_2024_B_5615908,"Clutch booster,Fuel pipe line,Combination switch,Clutch cyl assy,Lock ring",Ministry of Defence Department of Military Affairs,17-11-2024 13:20:04,,rejected,GEM BOT
GEM_2024_B_5616109,"Relay Change Over,Alarm Buzzer,Relay 12 Volt Flasher,Switch Flashing,Relay Park Break,Hose Boom Shi",Ministry of Defence Department of Military Affairs,17-11-2024 13:21:07,,rejected,GEM BOT
GEM_2024_B_5611903,"Clutch Master Cyl,Sleeve Cyl,Front Engine Mounting pad,Ignition Switch,Rear View Mirror LH,Speedome",Ministry of Defence Department of Military Affairs,17-11-2024 13:21:32,,rejected,GEM BOT
GEM_2024_B_5596464,"Steel Plate 10inch x 4 inch,15 Amp Switch Bd,Glass Table 2x3,Green Cloth 30x30,Glass Table 3x4 8mm,",Ministry of Defence Department of Military Affairs,17-11-2024 13:22:16,,rejected,GEM BOT
GEM_2024_B_5615051,"Extension Board with 05 x 5 Amp socket switch and 10 mtr wire,Pedestal Fan 18 Inch,HDMI Cable Lengt",Ministry of Defence Department of Military Affairs,17-11-2024 13:22:33,,rejected,GEM BOT
GEM_2024_B_5615760,"7.5 cc Aeromodel Trainer,7.5 cc Aeromodel Switch,7.5 cc Aeromodel Tank,7.5 cc Aeromodel Wheel,7.5 c",Ministry of Defence Department of Military Affairs,17-11-2024 13:22:44,,rejected,GEM BOT
GEM_2024_B_5615952,"Switch Board with 6A Switch and Socket,Switch Board with 16A Switch and Socket,Switch Board with 15",Ministry of Defence Department of Military Affairs,17-11-2024 13:22:56,,rejected,GEM BOT
